Tiempo_s,RPM
9.075,187.5
9.097,175
9.118,187.5
9.139,175
9.16,187.5
9.182,187.5
9.203,187.5
9.225,187.5
9.246,187.5
9.267,175
9.288,187.5
9.31,175
9.331,187.5
9.353,187.5
9.374,187.5
9.395,175
9.416,187.5
9.438,187.5
9.459,187.5
9.481,187.5
9.502,187.5
9.523,175
9.544,187.5
9.566,187.5
9.587,175
9.609,187.5
9.63,187.5
9.651,175
9.672,187.5
9.694,187.5
9.715,187.5
9.737,187.5
9.758,187.5
9.779,175
9.8,175
9.822,187.5
9.843,187.5
9.865,187.5
9.886,187.5
9.907,175
9.928,187.5
9.95,187.5
9.971,187.5
9.993,200
